X_DT,M_Paid_Views,M_Organic_Views,M_Google_Impressions,M_Email_Impressions,M_Facebook_Impressions,M_Affiliate_Impressions,M_Overall_Views,O_Sales,D_Thanksgiving,D_CyberMonday,D_ValentinesDay,D_PresidentsDay,D_BackToSchoolSale,D_LaborDay,D_YomKippur,D_ColumbusDay,D_Halloween,D_VeteransDay,D_Christmas,D_NewYearsDay,EC_CPI,EC_RTL_SALES
2/16/2019,538047,187095,14324050,24204165.21,5697042,772810,716072,4988305,0,0,0,1,0,0,0,0,0,0,0,0,246.218,1323291
2/23/2019,206841,126025,15075001,15900158.19,2105386,723920,319424,3860988,0,0,0,0,0,0,0,0,0,0,0,0,246.218,1323291
3/2/2019,13989,138771,21646597,21820630.41,1050472,734524,139068,3602139,0,0,0,0,0,0,0,0,0,0,0,0,247.768,1323291
3/9/2019,11989,120953,21608365,20361250.65,1577051,748496,120959,3210318,0,0,0,0,0,0,0,0,0,0,0,0,247.768,1323291
3/16/2019,12302,168965,21903116,18716402.76,3400996,969351,170075,4042150,0,0,0,0,0,0,0,0,0,0,0,0,247.768,1323291
3/23/2019,14699,278368,26725705,18700413.7,4441772,796213,280642,3874852,0,0,0,0,0,0,0,0,0,0,0,0,247.768,1323291
3/30/2019,11615,345240,18025308,22955642.09,5620875,869296,345619,3479706,0,0,0,0,0,0,0,0,0,0,0,0,247.768,1323291
4/6/2019,132516,368817,19683372,19223860.19,2458824,628429,489096,3256926,0,0,0,0,0,0,0,0,0,0,0,0,249.332,1343682
4/13/2019,148921,341916,25977681,18655285.21,4331633,625103,477575,3060150,0,0,0,0,0,0,0,0,0,0,0,0,249.332,1343682
4/20/2019,246920,364278,25754446,20269865.76,7100404,538972,598276,3901618,0,0,0,0,0,0,0,0,0,0,0,0,249.332,1343682
4/27/2019,328348,283001,21406451,23537950.62,5306064,593333,595057,3991587,0,0,0,0,0,0,0,0,0,0,0,0,249.332,1343682
5/4/2019,470444,311518,26459870,16777518.92,3606051,440803,774472,3812013,0,0,0,0,0,0,0,0,0,0,0,0,249.871,1343682
5/11/2019,539670,406011,22833098,13782171.66,4775726,456182,934589,3907213,0,0,0,0,0,0,0,0,0,0,0,0,249.871,1343682
